idx,user_query,detected_intent,agent_response,source_links,is_in_scope_and_correct
1,請問你們的退換貨政策是什麼？,FAQ,JTCG Shop 提供 7 天鑑賞期（含例假日）。商品需保持全新、完整包裝與配件。若為非瑕疵退換貨，可能需自行負擔來回運費。,,
2,保固多久？維修怎麼申請？,FAQ,請備妥訂單編號與故障影片/照片，於線上表單提交 RMA。客服會於工作日內回覆檢測與處理方式。,,
3,發票可以開三聯式嗎？要怎麼填統編？,FAQ,本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。,,
4,出貨大概幾天？有免運嗎？,FAQ,"現貨商品於 1–2 個工作天出貨；預購商品依頁面標示為準。標準運送滿 NT$1,500 免運；離島或外島運費另計。",,
5,VESA 100x100 的螢幕可以用哪支臂？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

3. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
6,我的桌板厚 85mm，夾具能裝嗎？,FAQ,"您好！關於您的桌板厚度問題，我們的夾具建議安裝於 10–85mm 厚的桌板。因此，您的 85mm 厚桌板是可以安裝夾具的。

另外，如果您的桌板是玻璃或軟木材質，我們建議您使用墊片或改用穿孔固定方式，以確保安裝的穩定性。",,
7,我要找真人客服,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
8,轉真人，謝謝,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
9,human agent please,HANDOFF,Understood. Please provide your email address so we can verify it and transfer you to a human agent.,,
10,connect to agent,FAQ,"您好！JTCG Shop 線上客服服務時段為週一至週五 09:30–18:00（國定假日除外）。

若您在服務時段外聯繫，或遇尖峰時段，請留下您的 Email，我們將盡速為您回覆。",,
11,我想要推薦雙螢幕支架，27 吋,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
12,34 吋曲面螢幕適合哪一款臂架？,FAQ,"您好！關於 34 吋曲面螢幕的臂架選擇，請您主要參考螢幕的「淨重（不含原廠腳座）」以及確認 VESA 規格，並確保臂架的承重範圍符合需求。

此外，針對超寬或曲面螢幕，我們建議您考慮搭配強化背板，以確保安裝的穩定性。

如果您需要進一步了解 VESA 規格的支援情況，或是其他相關資訊，歡迎隨時提出。",,
13,49 吋超寬螢幕有支援的重載臂嗎？,FAQ,"您好！關於您詢問 49 吋超寬螢幕是否支援重載臂架的問題，選購時請務必以「螢幕淨重（不含原廠腳座）」為準，並確認螢幕的 VESA 規格是否符合臂架的承重範圍。

此外，對於超寬或曲面螢幕，我們建議您搭配強化背板，以確保安裝的穩定性與安全性。",,
14,要壁掛有推薦嗎？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32,
15,有沒有筆電托盤可以接 VESA？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

2. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

3. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
16,走線管理套件有賣嗎？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 桌面走線管理組】（SKU：JTCG-CABLE-MGMT-KIT）

商品連結：https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT

2. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

3. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
17,請問可用 Apple Pay 或 LINE Pay 嗎？,FAQ,"您好！JTCG Shop 非常樂意為您服務。

關於付款方式，我們支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay 以及 LINE Pay。

若您有其他問題，也歡迎隨時提出。",,
18,可以分期付款嗎？,FAQ,"您好！關於分期付款的問題，JTCG Shop 支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay、LINE Pay。部分銀行有提供 3 期、6 期或 12 期分期付款的選項。

實際的分期手續費與最低消費門檻，將會在您結帳時的頁面清楚顯示，請您屆時留意。",,
19,海外寄送香港可以嗎？,FAQ,"您好！關於海外寄送香港的部分，目前我們主要配送台灣本島。

若您有海外寄送的需求，建議您可以透過客服先行評估可行方案與預估費用，以便為您提供更詳細的協助。",,
20,缺貨能設定到貨通知嗎？,FAQ,商品頁可點選「到貨通知我」，系統會在補貨後以 Email 通知。提醒僅代表可下單，實際購買以結帳成功為準。,,
21,有提供到府安裝嗎？,FAQ,"您好！關於到府安裝服務，我們在特定地區有提供，會由合作廠商協助執行。

由於費用會依地區與安裝難度另計，建議您在下單前，可以先與我們的客服確認您的地區是否支援此服務喔！",,
22,夾具跟穿孔裝哪個比較穩？,FAQ,"您好！關於夾具與穿孔固定的穩定性，穿孔固定通常能提供更佳的穩定性。

不過，夾具安裝的便利度很高，且免鑽孔。若您的桌板材質較特殊（例如玻璃或軟木），或是桌板較厚，建議可以考慮使用墊片輔助夾具，或者直接選擇穿孔固定方式以確保最佳穩定性。",,
23,螢幕 6 公斤可以用哪款？,FAQ,"您好！關於您詢問 6 公斤螢幕適用的臂架，選購時請以「螢幕淨重（不含原廠腳座）」為準，並確認螢幕的 VESA 規格是否與臂架的承重範圍相符。

此外，若您的螢幕是超寬或曲面機種，建議搭配強化背板以確保穩定性。",,
